gid,name,resource_subtype,resource_type,type,privacy_setting,default_access_level,is_formula_field,enum_options_gid,enum_options_color,enum_options_enabled,enum_options_name,enum_options_resource_type,precision,_BATCH_ID_,_BATCH_LAST_RUN_
1211002395736712,Trade Partner Attendees,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211002395736721,aqua,true,Post Tension Subcontractor,enum_option,,112.0,2026-01-06 10:09:28
1211002395736712,Trade Partner Attendees,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211002395736722,blue,true,Civil Engineer,enum_option,,112.0,2026-01-06 10:09:28
1211002395736712,Trade Partner Attendees,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211002395736723,indigo,true,HVAC Subcontractor,enum_option,,112.0,2026-01-06 10:09:28
1211002395736712,Trade Partner Attendees,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211002395736724,purple,true,Fire Suppression Subcontractor,enum_option,,112.0,2026-01-06 10:09:28
1211002395736712,Trade Partner Attendees,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211002395736725,hot-pink,true,Site Amenities Subcontractor,enum_option,,112.0,2026-01-06 10:09:28
1211002395736712,Trade Partner Attendees,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211002395736726,pink,true,Landscaper,enum_option,,112.0,2026-01-06 10:09:28
1211002395736712,Trade Partner Attendees,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211002395736727,cool-gray,true,Fire Alarm Subcontractor,enum_option,,112.0,2026-01-06 10:09:28
1211002395736712,Trade Partner Attendees,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211002395736728,red,true,Low Voltage Subcontractor,enum_option,,112.0,2026-01-06 10:09:28
1211002395736712,Trade Partner Attendees,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211002395736729,orange,true,Access Control Subcontractor,enum_option,,112.0,2026-01-06 10:09:28
1211002395736712,Trade Partner Attendees,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211002395736730,yellow,true,Storefront Subcontractor,enum_option,,112.0,2026-01-06 10:09:28
1211002395736712,Trade Partner Attendees,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211002395736731,yellow-green,true,Pool Subcontractor,enum_option,,112.0,2026-01-06 10:09:28
1211002395736712,Trade Partner Attendees,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211002395736732,green,true,Fitness Equipment Provider,enum_option,,112.0,2026-01-06 10:09:28
1211002395736712,Trade Partner Attendees,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211002395736733,blue-green,true,Painter,enum_option,,112.0,2026-01-06 10:09:28
1211002395736712,Trade Partner Attendees,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211002395736734,aqua,true,Drywall Subcontractor,enum_option,,112.0,2026-01-06 10:09:28
1211002395736712,Trade Partner Attendees,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211002395736735,blue,true,Cabinet Subcontractor,enum_option,,112.0,2026-01-06 10:09:28
1211002395736712,Trade Partner Attendees,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211002395736736,indigo,true,Trim Carpenter,enum_option,,112.0,2026-01-06 10:09:28
1211002395736712,Trade Partner Attendees,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211002395736737,purple,true,Flooring Subcontractor,enum_option,,112.0,2026-01-06 10:09:28
1211002395736712,Trade Partner Attendees,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211002395736738,magenta,true,Framer,enum_option,,112.0,2026-01-06 10:09:28
1211002395736712,Trade Partner Attendees,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211002395736739,hot-pink,true,Structural Steel Subcontractor,enum_option,,112.0,2026-01-06 10:09:28
1211002395736712,Trade Partner Attendees,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211002395736740,pink,true,Elevator Installer,enum_option,,112.0,2026-01-06 10:09:28
1211002395736712,Trade Partner Attendees,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211002395736741,cool-gray,true,Stair Subcontractor,enum_option,,112.0,2026-01-06 10:09:28
1211002395736712,Trade Partner Attendees,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211002395736742,none,true,Siding Subcontractor,enum_option,,112.0,2026-01-06 10:09:28
1211002395736712,Trade Partner Attendees,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211002395736743,orange,true,Lightweight Concrete Subcontractor,enum_option,,112.0,2026-01-06 10:09:28
1211002395736712,Trade Partner Attendees,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211002395736744,yellow,true,Signage Subcontractor,enum_option,,112.0,2026-01-06 10:09:28
1211002395736766,Phase of Work,text,custom_field,text,public_with_guests,admin,false,,,,,,,112.0,2026-01-06 10:09:28
1211108034634215,Product Type,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211108034634216,none,true,Prototype,enum_option,,112.0,2026-01-06 10:09:28
1211108034634215,Product Type,multi_enum,custom_field,multi_enum,public_with_guests,admin,false,1211108034634217,none,true,Heights/Flats,enum_option,,112.0,2026-01-06 10:09:28
1211282897556169,Construction Region,enum,custom_field,enum,public_with_guests,admin,false,1211282897556172,indigo,true,Gulf Coast,enum_option,,112.0,2026-01-06 10:09:28
1211282897556169,Construction Region,enum,custom_field,enum,public_with_guests,admin,false,1211282897556173,green,true,Carolinas,enum_option,,112.0,2026-01-06 10:09:28
1211632155794617,Vendor Status,enum,custom_field,enum,public_with_guests,admin,false,1211632155794618,blue,true,Contacted,enum_option,,112.0,2026-01-06 10:09:28
1211632155794617,Vendor Status,enum,custom_field,enum,public_with_guests,admin,false,1211632155794619,green,true,Confirmed,enum_option,,112.0,2026-01-06 10:09:28
1211632155794617,Vendor Status,enum,custom_field,enum,public_with_guests,admin,false,1211632155794620,yellow,true,Pending Payment,enum_option,,112.0,2026-01-06 10:09:28
1211632155794617,Vendor Status,enum,custom_field,enum,public_with_guests,admin,false,1211632155794621,red,true,Cancelled,enum_option,,112.0,2026-01-06 10:09:28
1211652683478824,KANB,text,custom_field,text,public_with_guests,admin,false,,,,,,,112.0,2026-01-06 10:09:28
1211723826559798,Project Start Date,date,custom_field,date,public_with_guests,admin,false,,,,,,,112.0,2026-01-06 10:09:28
1211743884751410,Cost,number,custom_field,number,public_with_guests,admin,true,,,,,,2,112.0,2026-01-06 10:09:28
1212552984198959,Cons. Date,date,custom_field,date,public_with_guests,admin,false,,,,,,,112.0,2026-01-06 10:09:28
1212561577317064,Construction Loan Closing,date,custom_field,date,public_with_guests,admin,false,,,,,,,112.0,2026-01-06 10:09:28
1212618745431123,Pre-Con Manager,people,custom_field,people,public_with_guests,admin,false,,,,,,,112.0,2026-01-06 10:09:28
